hour,cf_humboldt
1445,0.989214575
1446,0.969532794
1447,0.97191417
1448,0.982666397
1449,0.995938462
1450,0.981101215
1451,0.990672065
1452,1
1453,1
1454,1
1455,1
1456,0.999927126
1457,0.999927126
1458,1
1459,1
1460,0.999927126
1461,0.999927126
1462,0.999159514
1463,0.998906883
1464,0.994587854
1465,0.987785425
1466,0.984082591
1467,0.893558704
1468,0.858222672
1469,0.96274413
1470,0.975795951
1471,0.973317409
1472,0.946153036
1473,0.82242834
1474,0.769446964
1475,0.778394332
1476,0.816684211
1477,0.818936842
1478,0.833084211
1479,0.873096356
1480,0.953050202
1481,0.97714413
1482,0.968692308
1483,0.972102024
1484,0.956250202
1485,0.930796761
1486,0.949003239
1487,0.946579757
1488,0.877835628
1489,0.6906583
1490,0.441716599
1491,0.337398381
1492,0.303813765
1493,0.301939271
1494,0.276606478
1495,0.212148178
1496,0.19242753
1497,0.172545749
1498,0.128459919
1499,0.094523887
1500,0.098755466
1501,0.092159514
1502,0.074214575
1503,0.069084211
1504,0.061987854
1505,0.033606478
1506,0.010818623
1507,0.011220243
1508,0.021351417
1509,0.008630769
1510,0.00037247
1511,0
1512,0
1513,0
1514,0
1515,0
1516,0
1517,0
1518,0
1519,0
1520,0
1521,0
1522,0
1523,0
1524,0
1525,0.000279352
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0.026499595
1545,0.078237247
1546,0.120846964
1547,0.15097004
1548,0.211988664
1549,0.213684211
1550,0.2368583
1551,0.296049393
1552,0.334624291
1553,0.327568421
1554,0.334690688
1555,0.299893927
1556,0.266174899
1557,0.33034251
1558,0.491891498
1559,0.63805668
1560,0.70888502
1561,0.668661538
1562,0.647076923
1563,0.635449393
1564,0.604022672
1565,0.584254251
1566,0.61897166
1567,0.68734413
1568,0.71697085
1569,0.680652632
1570,0.629762753
1571,0.64591336
1572,0.744900405
1573,0.745932794
1574,0.669613765
1575,0.557131984
1576,0.483483401
1577,0.512234818
1578,0.604266397
1579,0.618260729
1580,0.642826721
1581,0.698498785
1582,0.702787854
1583,0.646420243
1584,0.551466397
1585,0.494980567
1586,0.446165992
1587,0.238846154
1588,0.054555466
1589,0.009818623
1590,0.005062348
1591,0.00440081
1592,0.000922267
1593,0.001070445
1594,0.005795951
1595,0.032761134
1596,0.088478543
1597,0.17917166
1598,0.270322267
1599,0.288404858
1600,0.300161134
1601,0.287201619
1602,0.31565668
1603,0.44939919
1604,0.582050202
1605,0.581475304
1606,0.474576518
1607,0.38759919
1608,0.358327935
1609,0.362445344
1610,0.407381377
1611,0.457047773
1612,0.508191093
1613,0.480882591
1614,0.490778947
1615,0.494830769
1616,0.404761134
1617,0.525993522
1618,0.589097976
1619,0.628647773
1620,0.607384615
1621,0.68565587
1622,0.791673684
1623,0.705978947
1624,0.623473684
1625,0.469018623
1626,0.447054251
1627,0.277352227
1628,0.18311417
1629,0.129042915
1630,0.067817004
1631,0.04165749
1632,0.014211336
1633,0
1634,0
1635,0
1636,0
1637,0.001769231
1638,0
1639,0
1640,0.008047773
1641,0.11637247
1642,0.33437166
1643,0.562752227
1644,0.719130364
1645,0.764185425
1646,0.846217814
1647,0.755231579
1648,0.535425101
1649,0.340898785
1650,0.245095547
1651,0.258511741
1652,0.396123077
1653,0.834648583
1654,0.936992713
1655,0.727130364
1656,0.701465587
1657,0.557641296
1658,0.299716599
1659,0.348563563
1660,0.819638866
1661,0.989631579
1662,0.989225911
1663,0.957236437
1664,0.992168421
1665,0.999339271
1666,1
1667,1
1668,1
1669,1
1670,1
1671,1
1672,1
1673,1
1674,0.999042915
1675,0.995332794
1676,0.971851012
1677,0.882145749
1678,0.826345749
1679,0.69271498
1680,0.549957895
1681,0.37145668
1682,0.169331174
1683,0.037404049
1684,0
1685,0
1686,0
1687,0.000558704
1688,0.013530364
1689,0.046353846
1690,0.091184615
1691,0.187237247
1692,0.379903644
1693,0.433052632
1694,0.448764372
1695,0.412209717
1696,0.396174899
1697,0.356120648
1698,0.275109312
1699,0.260632389
1700,0.15794332
1701,0.154325506
1702,0.212820243
1703,0.170391903
1704,0.029582996
1705,0.026297976
1706,0.033040486
1707,0.08797085
1708,0.092354656
1709,0.077277733
1710,0.003755466
1711,0
1712,0
1713,0
1714,0
1715,0.003165992
1716,0.02262996
1717,0.040319838
1718,0.026017814
1719,0.001955466
1720,0
1721,0
1722,0.00502834
1723,0.017662348
1724,0.034561134
1725,0.077415385
1726,0.151462348
1727,0.403655061
1728,0.562642915
1729,0.662251822
1730,0.64834332
1731,0.606555466
1732,0.542136032
1733,0.578391903
1734,0.514346559
1735,0.447320648
1736,0.42317247
1737,0.351431579
1738,0.404945749
1739,0.38517004
1740,0.419864777
1741,0.226536032
1742,0.279107692
1743,0.0354583
1744,0
1745,0.027179757
1746,0.001319028
1747,0.006902024
1748,0.036407287
1749,0.046410526
1750,0.079946559
1751,0.057280162
1752,0.021998381
1753,0.081825911
1754,0.348051822
1755,0.971663968
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,1
1765,1
1766,1
1767,0.792635628
1768,0.071014575
1769,0.001132794
1770,0.030473684
1771,0.285699595
1772,0.218002429
1773,0.164319028
1774,0.200105263
1775,0.296049393
1776,0.335421862
1777,0.398315789
1778,0.396710121
1779,0.358174089
1780,0.382259109
1781,0.300527126
1782,0.231449393
1783,0.173611336
1784,0.113936032
1785,0.098433198
1786,0.143897976
1787,0.138605668
1788,0.09651417
1789,0.046024291
1790,0.008705263
1791,0.004515789
1792,0.006254251
1793,0.015536032
1794,0.06288664
1795,0.050745749
1796,0.020876923
1797,0.001489879
1798,0.001769231
1799,0.000651822
1800,0.005887449
1801,0.003165992
1802,0
1803,0.002607287
1804,0.001210526
1805,0
1806,0
1807,0
1808,0
1809,0
1810,0
1811,0
1812,0
1813,0
1814,0
1815,0
1816,0.001923887
1817,0.023276923
1818,0.075565992
1819,0.117612955
1820,0.139957895
1821,0.165650202
1822,0.239767611
1823,0.316167611
1824,0.380584615
1825,0.589104453
1826,0.6864
1827,0.829407287
1828,0.921498785
1829,0.966672065
1830,0.942525506
1831,0.970123077
1832,1
1833,0.99708502
1834,0.983481781
1835,0.978783806
1836,0.955017004
1837,0.978878543
1838,0.989729555
1839,0.990725506
1840,0.986508502
1841,0.99262996
1842,0.990851012
1843,0.98111417
1844,0.98831498
1845,0.982425101
1846,0.958327935
1847,0.943493927
1848,0.94619919
1849,0.786785425
1850,0.60745749
1851,0.459182996
1852,0.541520648
1853,0.627854251
1854,0.570809717
1855,0.513642105
1856,0.514469636
1857,0.39151417
1858,0.31328502
1859,0.281272874
1860,0.280377328
1861,0.333728745
1862,0.332637247
1863,0.28677247
1864,0.165361943
1865,0.070608907
1866,0.04571417
1867,0.032659109
1868,0.010660729
1869,0.000279352
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0.101527935
1880,0.149502024
1881,0.371731984
1882,0.813016194
1883,0.496651012
1884,0.790761134
1885,0.719907692
1886,0.944315789
1887,0.979119028
1888,0.996268826
1889,0.998761134
1890,0.986002429
1891,0.954241296
1892,0.924037247
1893,0.886160324
1894,0.7018583
1895,0.418527935
1896,0.282350607
1897,0.150788664
1898,0.04982834
1899,0.069320648
1900,0.028789474
1901,0.011791093
1902,0.01208502
1903,0.00628502
1904,0.003724696
1905,0
1906,0.007185425
1907,0.012489069
1908,0.010382186
1909,0.00540081
1910,0.001769231
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0.01228502
1920,0.05494251
1921,0.052577328
1922,0.069336842
1923,0.083791093
1924,0.050500405
1925,0.033729555
1926,0.069046154
1927,0.165297166
1928,0.211523887
1929,0.285408097
1930,0.369624291
1931,0.103353846
1932,0.07054332
1933,0.039706073
1934,0.021075304
1935,0
1936,0
1937,0
1938,0
1939,0.012009717
1940,0.070694737
1941,0.274329555
1942,0.569021862
1943,0.711382186
1944,0.251140081
1945,0.549761943
1946,0.345933603
1947,0.619632389
1948,0.42857166
1949,0.138512551
1950,0.084183806
1951,0.041719028
1952,0.009908502
1953,0.046792713
1954,0.173643725
1955,0.36242996
1956,0.498464777
1957,0.751901215
1958,0.915255061
1959,0.976231579
1960,0.998173279
1961,1
1962,1
1963,1
1964,1
1965,1
1966,0.991898785
1967,0.96917004
1968,0.91497247
1969,0.826119838
1970,0.668442915
1971,0.598655061
1972,0.568359514
1973,0.199177328
1974,0.029939271
1975,0.004577328
1976,0.004127126
1977,0.001505263
1978,0.022236437
1979,0.050740081
1980,0.033337652
1981,0.044201619
1982,0.026356275
1983,0.032097976
1984,0.023393522
1985,0.02957166
1986,0.024116599
1987,0.0112
1988,0.005369231
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0.001396761
2001,0.039553846
2002,0.100848583
2003,0.130940891
2004,0.140902024
2005,0.154673684
2006,0.167512551
2007,0.180607287
2008,0.205068826
2009,0.202720648
2010,0.278586235
2011,0.277242915
2012,0.247789474
2013,0.22811336
2014,0.270526316
2015,0.270526316
2016,0.260032389
2017,0.232064777
2018,0.278017004
2019,0.305802429
2020,0.240822672
2021,0.173930364
2022,0.224638057
2023,0.325451822
2024,0.353979757
2025,0.318569231
2026,0.256585425
2027,0.183237247
2028,0.169311741
2029,0.201959514
2030,0.246755466
2031,0.256843725
2032,0.2103417
2033,0.144042105
2034,0.092591093
2035,0.09422915
2036,0.092738462
2037,0.065011336
2038,0.074205668
2039,0.13051336
2040,0.149723077
2041,0.11228502
2042,0.058535223
2043,0.032134413
2044,0.015178138
2045,0.009038057
2046,0.003723887
2047,0.008859919
2048,0.018681781
2049,0.016855061
2050,0.004157895
2051,0
2052,0
2053,0
2054,0
2055,0.004050202
2056,0.003522267
2057,0.009398381
2058,0.381915789
2059,0.176647773
2060,0.114363563
2061,0.196896356
2062,0.335127126
2063,0.545158704
2064,0.491162753
2065,0.44937085
2066,0.508045344
2067,0.53094332
2068,0.655848583
